id;title;price;rooms;bathrooms;size;parking_space;type;number;neighborhood_name;population;houses;area;street_name;zip_code;flood_quota;latitude;longitude;modality_name;company_name
2;Casa à Venda em Blumenau no bairro Itoupava Norte;1500000.0;3;4;325.0;2;casa;136;Itoupava Norte;15648;5258;5.0;Rua Olga Krutzsch;89053-073;15.0;-26.8785986;-49.0794927;venda;portal_imoveis
3;Casa para Alugar em Blumenau no bairro Ponta Aguda;4200.0;5;3;245.65;2;casa;178;Ponta Aguda;9880;3233;7.0;Rua Venezuela;89050-310;;-26.9144216;-49.0642226;locação;portal_imoveis
4;Casa à Venda em Blumenau no bairro Progresso;560000.0;3;2;822.26;1;casa;97;Progresso;15005;4852;7.0;Rua Germano Roeder;89026-250;;-26.9654392;-49.0763192;venda;portal_imoveis
8;Oportunidade! Apartamento 62,16m² Área PV abaixo valor mercado Blumenau/SC - Rafael Matias;111080.0;2;1;62.0;1;apartamento;;Itoupava Central;28164;8715;45.0;Rua Professor Jacob Ineichen;89066-598;;-26.8426432;-49.1113311;venda;zap_imoveis
9;Apartamento para Alugar em Blumenau no bairro Boa Vista;1300.0;2;1;95.22;1;apartamento;1758;Victor Konder;4612;1990;1.0;Rua Carlos Rischbieter;89012-200;16.6;-26.9077427;-49.0732069;locação;portal_imoveis
10;Casa à Venda em Blumenau no bairro Itoupava Norte;950000.0;3;4;259.5;2;casa;21;Itoupava Norte;15648;5258;5.0;Rua Xaverio Eble;89053-460;;-26.8717243;-49.0778422;venda;portal_imoveis
11;Apartamento à Venda em Blumenau no bairro Vila Nova;380000.0;4;2;150.0;1;apartamento;163;Vila Nova;9962;3884;2.0;Rua Theodoro Holtrup;89035-300;13.35;-26.9097018;-49.0825406;venda;portal_imoveis
12;Casa à Venda em Blumenau no bairro Velha;650000.0;4;4;274.77;2;casa;137;Velha;15373;5470;6.0;Rua Bruno Hildebrand;89040-090;;-26.9210608;-49.1148786;venda;portal_imoveis
13;Lote/Terreno à Venda em Blumenau no bairro Vila Nova;2500000.0;0;0;1927.0;0;loteterreno;233;Vila Nova;9962;3884;2.0;Rua Theodoro Holtrup;89035-300;13.35;-26.9097018;-49.0825406;venda;portal_imoveis
14;Excelente Oportunidade!;111080.0;2;1;62.0;1;apartamento;;Itoupava Central;28164;8715;45.0;Rua Professor Jacob Ineichen;89066-598;;-26.8426432;-49.1113311;venda;zap_imoveis
17;|Terreno no Bairro Valparaíso em Blumenau Próximo Nagguchi Apenas R$ 120.000,00 || LA VITA IMÓVEIS|;120000.0;0;0;574.0;0;loteterreno;;Valparaiso;5280;1774;1.0;Rua Antonio Hank;89023-370;;-26.9549408;-49.08355;venda;zap_imoveis
18;Terreno residencial para venda no Bairro Garcia, em Blumenau!;120000.0;0;0;417.0;0;loteterreno;;Garcia;15911;5336;5.0;Rua Evaldo Tensini;89022-220;;-26.9483269;-49.0663053;venda;zap_imoveis
19;Casa à Venda em Blumenau no bairro Itoupava Norte;1100000.0;5;3;431.85;3;casa;385;Itoupava Norte;15648;5258;5.0;Rua Ary Taborda Ribas;89053-520;;-26.8760919;-49.0823522;venda;portal_imoveis
21;Casa à Venda em Blumenau no bairro Vorstadt;1600000.0;3;5;372.5;4;casa;403;Vorstadt;4269;1690;4.0;Alameda Ralf Bruno Gross;89015-430;16.35;-26.8989653;-49.0420927;venda;portal_imoveis
22;Apartamento à Venda em Blumenau no bairro Itoupava Norte;720000.0;2;1;215.98;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
23;Apartamento à Venda em Blumenau no bairro Itoupava Norte;750000.0;3;1;140.47;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
24;Terreno localizado em loteamento residencial, contendo área total de 922,00 m², fazendo frente em 21;120000.0;0;0;922.0;0;loteterreno;;Garcia;15911;5336;5.0;Rua Christiano Theiss;89020-410;10.8;-26.9293031;-49.0561492;venda;zap_imoveis
27;Apartamento 1 dormitório Semi-mobiliado a venda Velha Central;120000.0;1;1;28.0;0;apartamento;;Velha Central;18779;6119;7.0;Rua Silvio Santiago;89046-065;;-26.9373519;-49.1409194;venda;zap_imoveis
28;Apartamento 1 dormitório Semi-mobiliado a venda Velha Central;120000.0;1;1;28.0;0;apartamento;;Velha Central;18779;6119;7.0;Rua Silvio Santiago;89046-065;;-26.9373519;-49.1409194;venda;zap_imoveis
29;Apartamento à Venda em Blumenau no bairro Itoupava Norte;750000.0;2;3;215.98;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
30;Apartamento à Venda em Blumenau no bairro Itoupava Norte;790000.0;3;1;140.47;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
31;Apartamento à Venda em Blumenau no bairro Itoupava Norte;750000.0;3;1;136.98;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
32;Apartamento à Venda em Blumenau no bairro Itoupava Norte;1210000.0;3;1;140.47;2;apartamento;;Itoupava Norte;15648;5258;5.0;Rua Sao Valentin;89053-330;13.6;-26.8735371;-49.0835406;venda;portal_imoveis
34;Saia do aluguel usando seu FGTS;120000.0;2;1;44.0;1;apartamento;;Badenfurt;8650;2753;12.0;Rua Heinrich Hemmer;89070-272;18.95;-26.8820467;-49.1224641;venda;zap_imoveis
35;Casa chalé no bairro Progresso;125000.0;3;1;45.0;1;casa;;Progresso;15005;4852;7.0;Rua Hermann Baehr;89027-720;;-27.005345;-49.0668641;venda;zap_imoveis
39;Lote/Terreno à Venda em Blumenau no bairro Escola Agrícola;1200000.0;0;0;2200.0;0;loteterreno;;Do Salto;4558;1445;2.0;Rua Jose Deeke;89031-400;;-26.8911422;-49.1015605;venda;portal_imoveis
